,merge.labels.M3,Lung,Liver,Right Ovary,Left Ovary,Adrenal
283,bar|588 14136,493,0,0,0,0
284,bar|589 6400,1597,0,0,0,0
285,bar|593 4231,1,0,0,0,0
286,bar|593 4742,58653,5,2,2,0
287,bar|593 7440,1,0,0,0,0
288,bar|593 9859,1,0,0,0,0
289,bar|595 93,1,0,0,0,0
290,bar|595 1538,43265,14,72,0,0
291,bar|595 1791,1,0,0,0,0
292,bar|595 1794,1,0,0,0,0
293,bar|595 1822,1,0,0,0,0
294,bar|595 1852,1,0,0,0,0
295,bar|595 2657,1,0,0,0,0
296,bar|595 3937,2,0,0,0,0
297,bar|595 14402,1,0,0,0,0
298,bar|599 8823,5,0,0,0,0
299,bar|601 9017,21,0,0,0,0
300,bar|605 12563,27,0,760,5,0
301,bar|607 1538,1,0,0,0,0
302,bar|615 11155,11,0,0,0,0
303,bar|623 1371,109,135683,0,15,224
304,bar|628 14226,3610,0,0,0,0
305,bar|630 12549,8,0,0,0,0
306,bar|633 4548,677,0,396,25,1
307,bar|635 562,346,0,0,0,0
308,bar|637 5073,16,0,0,0,0
309,bar|637 9285,218,0,0,0,0
310,bar|639 1350,1,0,0,0,0
311,bar|639 1743,8,0,0,0,0
312,bar|639 10174,1,0,0,0,0
313,bar|639 14964,3978,0,0,0,0
314,bar|641 13242,1,0,3,1,0
315,bar|645 7473,1,0,1,0,0
316,bar|647 1188,321,0,0,0,0
317,bar|651 5827,51,9691,3,5,12
318,bar|656 2323,84,0,0,0,0
319,bar|657 5560,18,1,1235,38,363
320,bar|657 8669,693,0,0,0,0
321,bar|658 4904,1,0,0,0,0
322,bar|658 6151,10013,0,0,0,1
323,bar|658 6254,1,0,0,0,0
324,bar|658 7797,1,0,0,0,0
325,bar|658 12071,1,0,0,0,0
326,bar|658 12627,4854,0,0,0,0
327,bar|661 9002,109,0,0,0,0
328,bar|664 9521,128,50,17,0,0
329,bar|664 13312,2256,0,0,0,0
330,bar|667 14900,1,0,0,0,0
331,bar|670 1259,48,0,0,0,0
332,bar|673 5525,1,0,0,0,0
333,bar|673 6290,4060,0,0,0,0
334,bar|673 14931,11,0,0,0,0
335,bar|674 435,22,0,112,3,0
336,bar|674 12851,35,0,0,0,0
337,bar|677 11954,14,0,0,0,0
338,bar|682 1864,497,0,0,0,1
339,bar|683 838,1,0,0,0,0
340,bar|683 2916,1,0,0,0,0
341,bar|683 5819,1,0,0,0,0
342,bar|683 8344,1,0,0,0,0
343,bar|683 9694,1,0,0,0,0
344,bar|683 10408,1,0,0,0,0
345,bar|683 10801,74118,0,1,0,0
346,bar|683 11057,1,0,0,0,0
347,bar|683 14159,1,0,0,0,0
348,bar|683 15921,1,0,0,0,0
349,bar|688 8311,2,0,0,0,0
350,bar|691 12238,1,0,0,0,0
351,bar|691 13591,526,0,0,0,0
352,bar|692 13939,8,0,0,0,0
353,bar|694 643,166,0,0,0,0
354,bar|694 3650,115,0,0,0,0
355,bar|694 9478,1,0,0,0,0
356,bar|699 3937,1,0,0,0,0
357,bar|699 4491,1,0,0,0,0
358,bar|699 5224,1,0,0,0,0
359,bar|699 5425,1,0,0,0,0
360,bar|699 6391,10707,0,0,0,0
361,bar|699 7393,1,0,0,0,0
362,bar|699 7797,1,0,0,0,0
363,bar|699 16291,591,0,0,0,0
364,bar|702 6975,1,0,0,0,0
365,bar|702 12773,3,75780,0,6,112
366,bar|705 1837,1,0,0,0,0
367,bar|705 1853,1,0,0,0,0
368,bar|705 5213,1,0,0,0,0
369,bar|705 5933,74176,0,0,0,1
370,bar|705 5974,1,0,0,0,0
371,bar|705 6030,1,0,0,0,0
372,bar|705 8205,1,0,0,0,0
373,bar|705 9963,1,0,0,0,0
374,bar|705 10126,1,0,0,0,0
375,bar|705 10939,1,0,0,0,0
376,bar|705 14158,1,0,0,0,0
377,bar|705 14490,1,0,0,0,0
378,bar|705 14900,1,0,0,0,0
379,bar|711 1394,1297,2,0,0,0
380,bar|711 13302,59,0,25,1,0
381,bar|714 7663,192,0,0,0,0
382,bar|714 8849,2721,0,0,0,0
383,bar|714 12789,13164,0,0,0,0
384,bar|717 4260,157,0,0,0,0
385,bar|719 11127,1,0,0,0,0
386,bar|720 14437,1489,381652,113,78,1579
387,bar|721 913,52,0,0,0,0
388,bar|722 15444,1,0,1,0,0
389,bar|724 9344,145,1,1829,40,413
390,bar|726 2045,17,0,39,0,0
391,bar|726 5815,4,0,0,0,0
392,bar|730 9981,14,0,0,0,0
393,bar|740 324,1,0,0,0,0
394,bar|740 401,1,0,0,0,0
395,bar|740 480,3,0,0,0,0
396,bar|740 1082,2,0,0,0,0
397,bar|740 1248,1,0,0,0,0
398,bar|740 1363,1,0,0,0,0
399,bar|740 1458,2,0,0,0,0
400,bar|740 1504,578469,5,3,5,4
401,bar|740 1745,3,0,0,0,0
402,bar|740 1847,1,0,0,0,0
